Armor,Overall,Explosion,Fortified,Head,Chest,Arm,Leg
50,133.00%,66.50%,33.25%,200.00%,113.05%,93.10%,106.40%
64,123.60%,61.80%,30.90%,200.00%,105.06%,86.52%,98.88%
70,120.00%,60.00%,30.00%,200.00%,102.00%,84.00%,96.00%
79,114.00%,57.00%,28.50%,200.00%,96.90%,79.80%,91.20%
100,100.00%,50.00%,25.00%,200.00%,85.00%,70.00%,80.00%
129,88.50%,44.25%,22.13%,177.00%,75.22%,61.95%,70.80%
150,80.00%,40.00%,20.00%,160.00%,68.00%,56.00%,64.00%
200,67.10%,33.55%,16.78%,134.20%,57.04%,46.97%,53.68%
w/Vitality,Overall,Explosion,Fortified,Head,Chest,Arm,Leg
50,106.40%,53.20%,26.60%,160.00%,90.44%,74.48%,85.12%
64,98.88%,49.44%,24.72%,160.00%,84.05%,69.22%,79.10%
70,96.00%,48.00%,24.00%,160.00%,81.60%,67.20%,76.80%
79,91.20%,45.60%,22.80%,160.00%,77.52%,63.84%,72.96%
100,80.00%,40.00%,20.00%,160.00%,68.00%,56.00%,64.00%
129,70.80%,35.40%,17.70%,141.60%,60.18%,49.56%,56.64%
150,64.00%,32.00%,16.00%,128.00%,54.40%,44.80%,51.20%
200,53.68%,26.84%,13.42%,107.36%,45.63%,37.58%,42.94%
